,area_type,total_sqft,bathroom,balcony,price,site_location,BHK
3622,Super built-up  Area,1142.0,2.0,1,51.0,Kondhwa Budruk,2.0
3623,Super built-up  Area,1418.0,2.0,2,101.0,Kondhwa Budruk,2.0
3624,Super built-up  Area,1102.0,2.0,1,48.0,Kondhwa Budruk,2.0
3625,Super built-up  Area,1285.0,2.0,1,60.0,Kondhwa Budruk,2.0
3626,Super built-up  Area,1370.0,2.0,1,170.0,Kondhwa Budruk,2.0
3627,Built-up  Area,940.0,2.0,1,56.8,Kondhwa Budruk,2.0
3628,Super built-up  Area,1200.0,2.0,3,45.0,Kondhwa Budruk,2.0
3629,Super built-up  Area,1550.0,2.0,3,160.0,Kondhwa Budruk,2.0
3630,Plot  Area,1200.0,2.0,0,70.0,Kondhwa Budruk,2.0
3631,Super built-up  Area,1804.0,2.0,1,220.0,Kondhwa Budruk,2.0
3632,Super built-up  Area,1464.0,2.0,2,56.0,Kondhwa Budruk,2.0
3633,Super built-up  Area,1200.0,2.0,2,62.0,Kondhwa Budruk,2.0
3634,Super built-up  Area,900.0,2.0,0,38.0,Kondhwa Budruk,2.0
3635,Super built-up  Area,950.0,2.0,1,40.0,Kondhwa Budruk,2.0
3636,Super built-up  Area,1216.0,2.0,1,69.06,Kondhwa Budruk,2.0
3637,Super built-up  Area,1140.0,2.0,2,46.0,Kondhwa Budruk,2.0
3638,Super built-up  Area,1243.0,2.0,2,46.0,Kondhwa Budruk,2.0
3639,Built-up  Area,1125.0,2.0,1,38.0,Kondhwa Budruk,2.0
3640,Super built-up  Area,1185.0,2.0,2,58.0,Kondhwa Budruk,2.0
3641,Plot  Area,1200.0,2.0,1,46.13,Kondhwa Budruk,2.0
3642,Built-up  Area,900.0,1.0,1,38.0,Kondhwa Budruk,2.0
3643,Super built-up  Area,1107.83,2.0,1,41.51,Kondhwa Budruk,2.0
3644,Super built-up  Area,1333.0,2.0,2,77.27,Kondhwa Budruk,2.0
3645,Super built-up  Area,1229.0,2.0,2,70.0,Kondhwa Budruk,2.0
3646,Super built-up  Area,1200.0,2.0,1,52.0,Kondhwa Budruk,2.0
3647,Super built-up  Area,1050.0,2.0,2,55.5,Kondhwa Budruk,2.0
3648,Built-up  Area,1333.0,2.0,1,104.0,Kondhwa Budruk,2.0
3649,Super built-up  Area,985.0,2.0,1,49.97,Kondhwa Budruk,2.0
3650,Plot  Area,900.0,2.0,1,40.0,Kondhwa Budruk,2.0
3651,Super built-up  Area,1145.0,2.0,2,75.0,Kondhwa Budruk,2.0
3652,Plot  Area,2408.5,2.0,0,220.0,Kondhwa Budruk,2.0
3653,Super built-up  Area,1343.0,2.0,2,75.0,Kondhwa Budruk,2.0
3654,Super built-up  Area,1076.0,2.0,1,78.0,Kondhwa Budruk,2.0
3655,Super built-up  Area,1200.0,2.0,2,45.6,Kondhwa Budruk,2.0
3656,Super built-up  Area,1185.0,2.0,2,42.67,Kondhwa Budruk,2.0
3657,Built-up  Area,1300.0,2.0,2,56.0,Kondhwa Budruk,2.0
3658,Super built-up  Area,1361.0,2.0,2,79.0,Kondhwa Budruk,2.0
3659,Super built-up  Area,1050.0,2.0,2,38.0,Kondhwa Budruk,2.0
3660,Super built-up  Area,900.0,2.0,1,38.0,Kondhwa Budruk,2.0
3661,Super built-up  Area,1150.0,2.0,1,41.0,Kondhwa Budruk,2.0
3662,Built-up  Area,1007.0,2.0,2,48.0,Kondhwa Budruk,2.0
3663,Super built-up  Area,1107.0,2.0,1,57.0,Kondhwa Budruk,2.0
3664,Built-up  Area,1250.0,3.0,0,170.0,Kondhwa Budruk,2.0
3665,Super built-up  Area,1129.0,2.0,1,69.0,Kondhwa Budruk,2.0
3666,Super built-up  Area,1105.0,2.0,1,38.0,Kondhwa Budruk,2.0
3667,Super built-up  Area,1100.0,2.0,3,90.0,Kondhwa Budruk,2.0
3668,Super built-up  Area,900.0,2.0,2,38.0,Kondhwa Budruk,2.0
3669,Super built-up  Area,1590.0,2.0,2,102.0,Kondhwa Budruk,2.0
3670,Built-up  Area,1081.0,2.0,1,52.0,Kondhwa Budruk,2.0
3671,Super built-up  Area,1160.0,2.0,2,44.08,Kondhwa Budruk,2.0
3672,Built-up  Area,1140.0,2.0,1,38.0,Kondhwa Budruk,2.0
3673,Built-up  Area,1200.0,2.0,1,38.0,Kondhwa Budruk,2.0
3674,Plot  Area,900.0,2.0,1,200.0,Kondhwa Budruk,3.0
3675,Super built-up  Area,1933.0,3.0,1,129.0,Kondhwa Budruk,3.0
3676,Super built-up  Area,1933.0,3.0,2,140.0,Kondhwa Budruk,3.0
3677,Built-up  Area,2238.0,3.0,1,140.0,Kondhwa Budruk,3.0
3678,Super built-up  Area,2408.5,3.0,1,220.0,Kondhwa Budruk,3.0
3679,Super built-up  Area,2408.5,4.0,1,220.0,Kondhwa Budruk,3.0
3680,Built-up  Area,1730.0,3.0,2,100.0,Kondhwa Budruk,3.0
3681,Plot  Area,1200.0,3.0,2,128.0,Kondhwa Budruk,3.0
3682,Super built-up  Area,1520.0,3.0,2,111.0,Kondhwa Budruk,3.0
3683,Super built-up  Area,1920.0,3.0,2,130.0,Kondhwa Budruk,3.0
3684,Super built-up  Area,1052.0,2.0,1,60.0,Kondhwa Budruk,3.0
3685,Built-up  Area,1620.0,3.0,2,90.0,Kondhwa Budruk,3.0
3686,Super built-up  Area,1655.0,3.0,2,131.0,Kondhwa Budruk,3.0
3687,Super built-up  Area,1704.0,3.0,1,120.0,Kondhwa Budruk,3.0
3688,Plot  Area,2408.5,3.0,1,220.0,Kondhwa Budruk,3.0
3689,Plot  Area,1200.0,2.0,0,66.0,Kondhwa Budruk,3.0
3690,Super built-up  Area,1780.0,3.0,1,100.0,Kondhwa Budruk,3.0
3691,Built-up  Area,1300.0,2.0,1,80.0,Kondhwa Budruk,3.0
3692,Plot  Area,1092.0,3.0,1,95.0,Kondhwa Budruk,3.0
3693,Super built-up  Area,2273.0,3.0,2,145.0,Kondhwa Budruk,3.0
3694,Super built-up  Area,1260.0,2.0,1,80.0,Kondhwa Budruk,3.0
3695,Super built-up  Area,1691.0,3.0,2,119.0,Kondhwa Budruk,3.0
3696,Built-up  Area,2408.5,3.0,2,200.0,Kondhwa Budruk,3.0
3697,Super built-up  Area,2408.5,4.0,3,220.0,Kondhwa Budruk,3.0
3698,Super built-up  Area,2408.5,4.0,1,220.0,Kondhwa Budruk,3.0
3699,Super built-up  Area,1630.0,3.0,2,110.0,Kondhwa Budruk,3.0
3700,Super built-up  Area,1612.0,3.0,1,98.38,Kondhwa Budruk,3.0
3701,Super built-up  Area,1910.0,3.0,2,131.0,Kondhwa Budruk,3.0
3702,Plot  Area,1200.0,2.0,0,140.0,Kondhwa Budruk,3.0
3703,Built-up  Area,1800.0,3.0,1,220.0,Kondhwa Budruk,4.0
3704,Plot  Area,2408.5,4.0,1,220.0,Kondhwa Budruk,4.0
3706,Carpet  Area,1548.3,4.0,1,129.0,Kondhwa Budruk,4.0
3707,Plot  Area,1800.0,2.0,0,220.0,Kondhwa Budruk,4.0
3708,Super built-up  Area,2408.5,2.0,1,220.0,Kondhwa Budruk,4.0
3709,Built-up  Area,2408.5,4.0,2,220.0,Kondhwa Budruk,4.0
3710,Super built-up  Area,2408.5,4.0,1,220.0,Kondhwa Budruk,5.0
3712,Plot  Area,2400.0,2.0,2,220.0,Kondhwa Budruk,6.0
3713,Built-up  Area,1200.0,2.0,0,85.0,Kondhwa Khurd,1.0
3714,Super built-up  Area,900.0,1.0,1,62.5,Kondhwa Khurd,1.0
3715,Super built-up  Area,900.0,1.0,1,40.0,Kondhwa Khurd,1.0
3716,Super built-up  Area,900.0,1.0,1,38.0,Kondhwa Khurd,1.0
3717,Built-up  Area,900.0,1.0,1,38.0,Kondhwa Khurd,1.0
3718,Built-up  Area,900.0,1.0,0,85.0,Kondhwa Khurd,1.0
3719,Super built-up  Area,900.0,1.0,0,38.0,Kondhwa Khurd,1.0
3720,Built-up  Area,900.0,1.0,2,60.0,Kondhwa Khurd,1.0
3721,Super built-up  Area,900.0,1.0,1,38.0,Kondhwa Khurd,1.0
3722,Built-up  Area,900.0,1.0,1,52.3,Kondhwa Khurd,1.0
3723,Super built-up  Area,900.0,1.0,1,38.0,Kondhwa Khurd,1.0
3724,Super built-up  Area,900.0,1.0,1,50.0,Kondhwa Khurd,1.0
3725,Super built-up  Area,900.0,1.0,0,38.0,Kondhwa Khurd,1.0
3726,Built-up  Area,1050.0,2.0,1,71.0,Kondhwa Khurd,2.0
3727,Built-up  Area,1157.0,2.0,1,84.0,Kondhwa Khurd,2.0
3728,Built-up  Area,920.0,2.0,3,65.0,Kondhwa Khurd,2.0
3729,Plot  Area,900.0,2.0,2,39.0,Kondhwa Khurd,2.0
3730,Super built-up  Area,1105.0,2.0,1,80.0,Kondhwa Khurd,2.0
3731,Built-up  Area,1320.0,2.0,3,90.0,Kondhwa Khurd,2.0
3732,Super built-up  Area,1009.0,2.0,1,65.0,Kondhwa Khurd,2.0
3733,Super built-up  Area,1360.0,2.0,3,110.0,Kondhwa Khurd,2.0
3734,Super built-up  Area,2408.5,2.0,1,170.0,Kondhwa Khurd,2.0
3735,Built-up  Area,1370.0,2.0,2,88.0,Kondhwa Khurd,2.0
3736,Built-up  Area,1650.0,1.0,1,130.0,Kondhwa Khurd,2.0
3737,Super built-up  Area,2135.0,3.0,2,215.0,Kondhwa Khurd,3.0
3738,Super built-up  Area,1537.0,3.0,3,120.0,Kondhwa Khurd,3.0
3739,Built-up  Area,1850.0,3.0,1,170.0,Kondhwa Khurd,3.0
3740,Super built-up  Area,2408.5,3.0,2,220.0,Kondhwa Khurd,3.0
3741,Built-up  Area,1100.0,3.0,1,110.0,Kondhwa Khurd,3.0
3742,Built-up  Area,2408.5,4.0,3,220.0,Kondhwa Khurd,3.0
3743,Super built-up  Area,1866.0,4.0,2,220.0,Kondhwa Khurd,3.0
3744,Super built-up  Area,2050.0,3.0,2,150.0,Kondhwa Khurd,3.0
3745,Plot  Area,1800.0,5.0,2,220.0,Kondhwa Khurd,4.0
3746,Plot  Area,1376.0,4.0,1,156.0,Kondhwa Khurd,4.0
3747,Super built-up  Area,2302.0,4.0,2,220.0,Kondhwa Khurd,4.0
3748,Plot  Area,2408.5,5.0,2,220.0,Kondhwa Khurd,4.0
3749,Plot  Area,2408.5,4.0,1,220.0,Kondhwa Khurd,4.0
3751,Super built-up  Area,2408.5,2.0,1,220.0,Kondhwa Khurd,4.0
3752,Plot  Area,1200.0,4.0,2,130.0,Kondhwa Khurd,4.0
3753,Plot  Area,2408.5,4.0,3,220.0,Kondhwa Khurd,4.0
3754,Plot  Area,1240.0,4.0,0,110.0,Kondhwa Khurd,4.0
3755,Plot  Area,1500.0,4.0,1,220.0,Kondhwa Khurd,4.0
3756,Plot  Area,1750.0,4.0,2,220.0,Kondhwa Khurd,4.0
3757,Plot  Area,2408.5,5.0,3,220.0,Kondhwa Khurd,5.0
3758,Plot  Area,2408.5,4.0,1,220.0,Kondhwa Khurd,5.0
3759,Plot  Area,1650.0,2.0,1,200.0,Kondhwa Khurd,5.0
3761,Super built-up  Area,900.0,1.0,1,38.0,Koregaon Park,1.0
3762,Super built-up  Area,2408.5,1.0,1,220.0,Koregaon Park,1.0
3763,Super built-up  Area,900.0,1.0,1,38.0,Koregaon Park,1.0
3764,Built-up  Area,900.0,1.0,1,38.0,Koregaon Park,1.0
3765,Super built-up  Area,900.0,1.0,1,38.0,Koregaon Park,1.0
3766,Super built-up  Area,1459.0,2.0,1,94.82,Koregaon Park,2.0
3767,Super built-up  Area,1000.0,2.0,1,60.0,Koregaon Park,2.0
3768,Built-up  Area,1060.0,2.0,2,60.0,Koregaon Park,2.0
3769,Super built-up  Area,1173.0,2.0,1,58.0,Koregaon Park,2.0
3770,Super built-up  Area,1150.0,2.0,3,69.0,Koregaon Park,2.0
3771,Super built-up  Area,1000.0,2.0,1,38.0,Koregaon Park,2.0
3772,Super built-up  Area,1025.0,2.0,2,38.0,Koregaon Park,2.0
3773,Super built-up  Area,1008.0,2.0,3,45.0,Koregaon Park,2.0
3774,Built-up  Area,1020.0,2.0,2,38.0,Koregaon Park,2.0
3775,Built-up  Area,900.0,2.0,0,42.0,Koregaon Park,2.0
3776,Super built-up  Area,1135.0,2.0,2,68.0,Koregaon Park,2.0
3777,Super built-up  Area,1495.0,2.0,2,90.0,Koregaon Park,2.0
3778,Super built-up  Area,1050.0,2.0,2,50.0,Koregaon Park,2.0
3779,Super built-up  Area,1424.0,2.0,2,90.0,Koregaon Park,2.0
3780,Super built-up  Area,1160.0,2.0,2,40.59,Koregaon Park,2.0
3781,Built-up  Area,1115.0,2.0,2,38.0,Koregaon Park,2.0
3782,Super built-up  Area,1243.0,2.0,2,46.0,Koregaon Park,2.0
3783,Super built-up  Area,1225.0,2.0,2,47.0,Koregaon Park,2.0
3784,Super built-up  Area,1200.0,2.0,2,62.0,Koregaon Park,2.0
3785,Super built-up  Area,1420.0,2.0,1,99.39,Koregaon Park,2.0
3786,Super built-up  Area,1300.0,2.0,2,61.0,Koregaon Park,2.0
3787,Super built-up  Area,925.0,2.0,3,42.0,Koregaon Park,2.0
3788,Built-up  Area,1420.0,2.0,2,107.0,Koregaon Park,2.0
3789,Super built-up  Area,900.0,1.0,1,38.0,Koregaon Park,2.0
3790,Super built-up  Area,1056.0,2.0,2,38.0,Koregaon Park,2.0
3791,Built-up  Area,965.0,2.0,2,48.0,Koregaon Park,2.0
3792,Super built-up  Area,1185.0,2.0,3,70.0,Koregaon Park,2.0
3793,Plot  Area,1290.0,1.0,0,220.0,Koregaon Park,2.0
3794,Super built-up  Area,1081.0,2.0,1,38.0,Koregaon Park,2.0
3795,Built-up  Area,1030.0,2.0,2,50.0,Koregaon Park,2.0
3796,Built-up  Area,1339.0,2.0,2,62.0,Koregaon Park,2.0
3797,Super built-up  Area,1139.0,2.0,2,60.0,Koregaon Park,2.0
3798,Super built-up  Area,1161.0,2.0,1,55.15,Koregaon Park,2.0
3799,Super built-up  Area,1290.0,2.0,1,120.0,Koregaon Park,2.0
3800,Super built-up  Area,905.0,2.0,1,40.0,Koregaon Park,2.0
3801,Super built-up  Area,1210.0,2.0,1,54.0,Koregaon Park,2.0
3802,Super built-up  Area,1070.0,2.0,1,52.0,Koregaon Park,2.0
3803,Plot  Area,900.0,2.0,1,55.0,Koregaon Park,2.0
3804,Super built-up  Area,1148.0,2.0,1,43.5,Koregaon Park,2.0
3805,Super built-up  Area,1187.0,2.0,1,59.0,Koregaon Park,2.0
3806,Super built-up  Area,1198.0,2.0,2,60.0,Koregaon Park,2.0
3807,Super built-up  Area,1030.0,2.0,1,49.35,Koregaon Park,2.0
3808,Super built-up  Area,1320.0,2.0,2,115.0,Koregaon Park,2.0
3809,Super built-up  Area,1219.0,2.0,1,61.26,Koregaon Park,2.0
3810,Built-up  Area,1188.0,2.0,3,46.0,Koregaon Park,2.0
3811,Built-up  Area,1040.0,2.0,2,45.0,Koregaon Park,2.0
3812,Super built-up  Area,1130.0,2.0,2,38.0,Koregaon Park,2.0
3813,Super built-up  Area,1020.0,2.0,3,47.0,Koregaon Park,2.0
3814,Built-up  Area,900.0,2.0,1,40.0,Koregaon Park,2.0
3815,Super built-up  Area,1256.0,2.0,1,73.0,Koregaon Park,2.0
3816,Super built-up  Area,1205.0,2.0,2,64.47,Koregaon Park,2.0
3817,Super built-up  Area,1180.0,2.0,2,70.0,Koregaon Park,2.0
3818,Super built-up  Area,1035.0,2.0,1,60.0,Koregaon Park,2.0
3819,Super built-up  Area,1047.0,2.0,1,72.0,Koregaon Park,2.0
3820,Plot  Area,900.0,3.0,3,59.5,Koregaon Park,2.0
3821,Super built-up  Area,1216.0,2.0,1,80.0,Koregaon Park,2.0
3822,Built-up  Area,1050.0,2.0,2,60.0,Koregaon Park,2.0
3823,Super built-up  Area,1200.0,2.0,2,40.0,Koregaon Park,2.0
3824,Built-up  Area,1200.0,2.0,1,75.0,Koregaon Park,2.0
3825,Built-up  Area,1065.0,2.0,1,38.0,Koregaon Park,2.0
3826,Built-up  Area,1394.0,2.0,2,85.0,Koregaon Park,2.0
3827,Plot  Area,1500.0,2.0,0,220.0,Koregaon Park,2.0
3828,Super built-up  Area,1050.0,2.0,2,38.0,Koregaon Park,2.0
3829,Built-up  Area,1140.0,2.0,1,38.0,Koregaon Park,2.0
3830,Built-up  Area,1065.0,2.0,2,45.0,Koregaon Park,2.0
3831,Super built-up  Area,1100.0,2.0,1,63.0,Koregaon Park,2.0
3832,Built-up  Area,1000.0,2.0,2,60.0,Koregaon Park,2.0
3833,Super built-up  Area,2408.5,2.0,3,220.0,Koregaon Park,2.0
3834,Super built-up  Area,1050.0,2.0,0,59.0,Koregaon Park,2.0
3835,Super built-up  Area,1025.0,2.0,1,39.98,Koregaon Park,2.0
3836,Super built-up  Area,1160.0,2.0,3,53.0,Koregaon Park,2.0
3837,Super built-up  Area,1224.0,2.0,2,75.0,Koregaon Park,2.0
3838,Super built-up  Area,1175.0,2.0,2,75.0,Koregaon Park,2.0
3839,Built-up  Area,1200.0,2.0,3,50.0,Koregaon Park,2.0
3840,Built-up  Area,900.0,2.0,0,38.0,Koregaon Park,2.0
3841,Super built-up  Area,1200.0,2.0,2,140.0,Koregaon Park,2.0
3842,Super built-up  Area,1855.0,3.0,1,220.0,Koregaon Park,3.0
3843,Plot  Area,900.0,2.0,3,165.0,Koregaon Park,3.0
3844,Carpet  Area,1650.0,3.0,3,175.0,Koregaon Park,3.0
3845,Super built-up  Area,1375.0,2.0,3,85.0,Koregaon Park,3.0
3846,Super built-up  Area,1470.0,2.0,2,110.0,Koregaon Park,3.0
3847,Super built-up  Area,1862.0,3.0,2,119.0,Koregaon Park,3.0
3848,Super built-up  Area,1397.0,3.0,3,108.0,Koregaon Park,3.0
3849,Super built-up  Area,2000.0,3.0,2,160.0,Koregaon Park,3.0
3850,Super built-up  Area,1382.0,2.0,2,76.18,Koregaon Park,3.0
3851,Super built-up  Area,1670.0,3.0,2,160.0,Koregaon Park,3.0
3852,Super built-up  Area,1740.0,4.0,3,130.0,Koregaon Park,3.0
3853,Built-up  Area,2408.5,3.0,3,220.0,Koregaon Park,3.0
3854,Plot  Area,1200.0,2.0,1,220.0,Koregaon Park,3.0
3855,Plot  Area,900.0,3.0,2,79.0,Koregaon Park,3.0
3856,Super built-up  Area,2408.5,3.0,2,220.0,Koregaon Park,3.0
3857,Built-up  Area,1800.0,3.0,2,125.0,Koregaon Park,3.0
3858,Built-up  Area,1820.0,3.0,2,113.0,Koregaon Park,3.0
3859,Super built-up  Area,1700.0,3.0,3,220.0,Koregaon Park,3.0
3860,Super built-up  Area,1540.0,3.0,2,150.0,Koregaon Park,3.0
3861,Plot  Area,1200.0,3.0,1,110.0,Koregaon Park,3.0
3862,Super built-up  Area,1157.0,2.0,1,75.0,Koregaon Park,3.0
3863,Super built-up  Area,1625.0,3.0,2,95.0,Koregaon Park,3.0
3864,Super built-up  Area,2000.0,3.0,3,200.0,Koregaon Park,3.0
3865,Plot  Area,1410.0,4.0,2,160.0,Koregaon Park,4.0
3866,Plot  Area,1200.0,4.0,1,110.0,Koregaon Park,4.0
3867,Built-up  Area,2408.5,4.0,2,220.0,Koregaon Park,4.0
3868,Plot  Area,2408.5,5.0,1,220.0,Koregaon Park,4.0
3869,Super built-up  Area,2408.5,5.0,1,220.0,Koregaon Park,4.0
3870,Plot  Area,2400.0,3.0,2,220.0,Koregaon Park,4.0
3871,Built-up  Area,2408.5,4.0,3,220.0,Koregaon Park,4.0
3872,Plot  Area,2408.5,2.0,3,220.0,Koregaon Park,6.0
3873,Super built-up  Area,900.0,1.0,1,38.0,Kothrud,1.0
3874,Built-up  Area,900.0,1.0,2,38.0,Kothrud,1.0
3875,Built-up  Area,1050.0,1.0,1,70.0,Kothrud,1.0
3876,Plot  Area,900.0,1.0,1,38.0,Kothrud,1.0
3877,Super built-up  Area,900.0,1.0,1,53.0,Kothrud,1.0
3878,Super built-up  Area,2400.0,1.0,1,200.0,Kothrud,1.0
3879,Built-up  Area,900.0,1.0,1,38.0,Kothrud,1.0
3880,Plot  Area,1675.0,1.0,0,220.0,Kothrud,1.0
3881,Built-up  Area,900.0,1.0,1,38.0,Kothrud,1.0
3882,Plot  Area,900.0,1.0,0,38.0,Kothrud,1.0
3883,Built-up  Area,900.0,1.0,1,45.0,Kothrud,1.0
3884,Plot  Area,900.0,1.0,1,130.0,Kothrud,2.0
3885,Built-up  Area,1124.0,3.0,2,80.0,Kothrud,2.0
3886,Super built-up  Area,918.0,2.0,2,63.2,Kothrud,2.0
3887,Super built-up  Area,1232.0,2.0,1,88.0,Kothrud,2.0
3888,Super built-up  Area,1000.0,2.0,0,150.0,Kothrud,2.0
3889,Super built-up  Area,1418.0,2.0,2,105.0,Kothrud,2.0
3890,Built-up  Area,1200.0,2.0,1,80.0,Kothrud,2.0
3891,Super built-up  Area,1349.0,2.0,1,98.0,Kothrud,2.0
3892,Super built-up  Area,2000.0,3.0,2,210.0,Kothrud,3.0
3893,Plot  Area,900.0,2.0,1,110.0,Kothrud,3.0
3894,Built-up  Area,1480.0,2.0,0,145.0,Kothrud,3.0
3895,Super built-up  Area,1740.0,3.0,2,199.0,Kothrud,3.0
3896,Built-up  Area,2408.5,4.0,3,220.0,Kothrud,3.0
3897,Super built-up  Area,1255.0,3.0,1,130.0,Kothrud,3.0
3898,Super built-up  Area,2370.0,4.0,2,195.0,Kothrud,3.0
3899,Super built-up  Area,1695.0,3.0,2,150.0,Kothrud,3.0
3900,Super built-up  Area,1850.0,3.0,2,155.0,Kothrud,3.0
3901,Built-up  Area,2350.0,3.0,2,210.0,Kothrud,3.0
3902,Plot  Area,2408.5,3.0,2,220.0,Kothrud,3.0
3903,Plot  Area,2408.5,4.0,2,220.0,Kothrud,4.0
3904,Plot  Area,2408.5,5.0,3,220.0,Kothrud,4.0
3905,Plot  Area,1200.0,4.0,2,220.0,Kothrud,4.0
3906,Super built-up  Area,2408.5,4.0,3,220.0,Kothrud,4.0
3908,Super built-up  Area,2100.0,3.0,1,204.0,Kothrud,4.0
3909,Super built-up  Area,2408.5,5.0,3,220.0,Kothrud,4.0
3911,Built-up  Area,2408.5,4.0,2,220.0,Kothrud,4.0
3912,Plot  Area,2408.5,2.0,1,220.0,Kothrud,5.0
3913,Plot  Area,2400.0,3.0,1,220.0,Kothrud,5.0
3915,Super built-up  Area,900.0,2.0,1,40.0,Law College Road,1.0
3916,Built-up  Area,900.0,1.0,1,38.0,Law College Road,1.0
3917,Super built-up  Area,900.0,1.0,0,38.0,Law College Road,1.0
3918,Super built-up  Area,900.0,1.0,1,40.42,Law College Road,1.0
3919,Built-up  Area,900.0,2.0,1,38.0,Law College Road,2.0
3920,Super built-up  Area,1419.0,2.0,2,48.1,Law College Road,2.0
3921,Super built-up  Area,1349.0,2.0,1,98.0,Law College Road,2.0
3922,Super built-up  Area,1250.0,2.0,0,200.0,Law College Road,2.0
3923,Super built-up  Area,1025.0,2.0,1,44.5,Law College Road,2.0
3924,Super built-up  Area,900.0,2.0,1,55.0,Law College Road,2.0
3925,Built-up  Area,914.0,2.0,2,47.0,Law College Road,2.0
3926,Super built-up  Area,1232.0,2.0,0,69.61,Law College Road,2.0
3927,Super built-up  Area,1035.0,2.0,2,38.3,Law College Road,2.0
3928,Super built-up  Area,1012.0,2.0,1,54.59,Law College Road,2.0
3929,Super built-up  Area,1130.0,2.0,2,40.0,Law College Road,2.0
3930,Super built-up  Area,1300.0,2.0,1,90.87,Law College Road,2.0
3931,Super built-up  Area,1105.0,2.0,2,46.37,Law College Road,2.0
3932,Super built-up  Area,1125.0,2.0,1,61.2,Law College Road,2.0
3933,Plot  Area,1200.0,2.0,1,160.0,Law College Road,2.0
3934,Super built-up  Area,1152.0,2.0,1,65.0,Law College Road,2.0
3935,Super built-up  Area,1100.0,2.0,2,43.0,Law College Road,2.0
3936,Super built-up  Area,1418.0,2.0,2,105.0,Law College Road,2.0
3937,Super built-up  Area,1156.0,2.0,2,42.0,Law College Road,2.0
3938,Super built-up  Area,1180.0,1.0,0,50.0,Law College Road,2.0
3939,Super built-up  Area,1200.0,2.0,2,42.6,Law College Road,2.0
3940,Built-up  Area,1100.0,2.0,1,55.0,Law College Road,2.0
3941,Super built-up  Area,1410.0,2.0,2,75.0,Law College Road,2.0
3942,Super built-up  Area,1115.0,2.0,0,38.0,Law College Road,2.0
3943,Super built-up  Area,1320.0,2.0,1,99.26,Law College Road,2.0
3944,Super built-up  Area,1147.0,2.0,1,60.0,Law College Road,2.0
3945,Plot  Area,1200.0,2.0,1,38.0,Law College Road,2.0
3946,Super built-up  Area,945.0,2.0,1,38.0,Law College Road,2.0
3947,Plot  Area,900.0,3.0,1,59.5,Law College Road,2.0
3948,Built-up  Area,1370.0,2.0,2,125.0,Law College Road,2.0
3949,Super built-up  Area,1240.0,2.0,2,60.0,Law College Road,2.0
3950,Super built-up  Area,1300.0,2.0,2,55.0,Law College Road,2.0
3951,Super built-up  Area,1057.0,2.0,1,65.0,Law College Road,2.0
3952,Super built-up  Area,1464.0,3.0,3,56.0,Law College Road,2.0
3953,Super built-up  Area,1183.0,2.0,1,77.3,Law College Road,2.0
3954,Super built-up  Area,1065.0,2.0,1,42.6,Law College Road,2.0
3955,Super built-up  Area,900.0,2.0,1,38.0,Law College Road,2.0
3956,Super built-up  Area,1340.0,2.0,2,41.0,Law College Road,2.0
3957,Plot  Area,1300.0,2.0,2,95.0,Law College Road,2.0
3958,Plot  Area,1348.0,2.0,0,100.0,Law College Road,2.0
3959,Super built-up  Area,1012.0,2.0,1,70.0,Law College Road,2.0
3960,Super built-up  Area,1243.0,2.0,2,46.0,Law College Road,2.0
3961,Super built-up  Area,1299.0,2.0,1,89.63,Law College Road,2.0
3962,Super built-up  Area,1718.0,3.0,2,220.0,Law College Road,2.0
3963,Super built-up  Area,1100.0,2.0,1,44.0,Law College Road,2.0
3964,Built-up  Area,900.0,2.0,1,39.0,Law College Road,2.0
3965,Super built-up  Area,1245.0,2.0,2,59.0,Law College Road,2.0
3966,Super built-up  Area,1175.0,2.0,1,60.0,Law College Road,2.0
3967,Built-up  Area,1310.0,2.0,1,62.0,Law College Road,2.0
3968,Super built-up  Area,1015.0,2.0,2,60.0,Law College Road,2.0
3969,Plot  Area,2408.5,2.0,2,180.0,Law College Road,3.0
3970,Built-up  Area,1867.0,3.0,1,160.0,Law College Road,3.0
3971,Super built-up  Area,1720.0,3.0,3,100.0,Law College Road,3.0
3972,Plot  Area,1120.0,2.0,3,145.0,Law College Road,3.0
3973,Super built-up  Area,1255.0,2.0,1,77.68,Law College Road,3.0
3974,Built-up  Area,1756.0,3.0,3,100.0,Law College Road,3.0
3975,Super built-up  Area,1614.0,3.0,1,110.0,Law College Road,3.0
3976,Super built-up  Area,1650.0,3.0,2,200.0,Law College Road,3.0
3977,Built-up  Area,1200.0,2.0,3,90.0,Law College Road,3.0
3978,Super built-up  Area,1995.0,3.0,2,135.0,Law College Road,3.0
3979,Built-up  Area,1945.0,3.0,3,120.0,Law College Road,3.0
3980,Super built-up  Area,1533.0,3.0,2,150.0,Law College Road,3.0
3981,Built-up  Area,1800.0,3.0,3,140.0,Law College Road,3.0
3982,Super built-up  Area,1800.0,3.0,0,220.0,Law College Road,3.0
3983,Built-up  Area,2180.0,3.0,2,220.0,Law College Road,3.0
3984,Super built-up  Area,1985.0,3.0,2,130.0,Law College Road,3.0
3985,Super built-up  Area,1830.0,4.0,2,135.0,Law College Road,3.0
3986,Built-up  Area,1831.0,3.0,1,110.0,Law College Road,3.0
3987,Super built-up  Area,2274.24,4.0,1,160.0,Law College Road,3.0
3988,Super built-up  Area,2200.0,3.0,3,220.0,Law College Road,3.0
